TimeStamp, Source,LogType,Description
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Login.asp
05.15 14:48.38, Reporter,Info,[info] Password type input with auto-complete enabled "/Login.asp"
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Login.asp
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Login.asp
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Register.asp
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Templatize.asp?item=html/about.html
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Templatize.asp (variation 1)
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Processing file /
05.15 14:48.38, Reporter,Info,[low] Clickjacking: X-Frame-Options header missing "Web Server"
05.15 14:48.38, ScriptExecThread(6),Info,Per server script "Clickjacking_X_Frame_Options.script" finished in 734 ms. Request count: 1. Status: 0
05.15 14:48.38, ScriptExecThread(6),Info,Per server script "ColdFusion_v8_File_Upload.script" starting
05.15 14:48.38, ScriptExecThread(5),Info,Per server script "ColdFusion_User_Agent_XSS.script" finished in 453 ms. Request count: 1. Status: 0
05.15 14:48.38, ScriptExecThread(5),Info,Per server script "ColdFusion_v9_Solr_Exposed.script" starting
05.15 14:48.38, ScriptExecThread(4),Info,Per server script "ClientAccessPolicy_XML.script" finished in 593 ms. Request count: 2. Status: 0
05.15 14:48.38, ScriptExecThread(4),Info,Per server script "CoreDumpCheck.script" starting
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/showforum.asp
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Processing file /showforum.asp
05.15 14:48.38, ScriptExecThread(5),Info,Per server script "ColdFusion_v9_Solr_Exposed.script" finished in 296 ms. Request count: 1. Status: 0
05.15 14:48.38, ScriptExecThread(5),Info,Per server script "CRLF_Injection_PerServer.script" starting
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/showforum.asp?id=2
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Processing file /showforum.asp (variation 2)
05.15 14:48.38, ScriptExecThread(4),Info,Per server script "CoreDumpCheck.script" finished in 296 ms. Request count: 1. Status: 0
05.15 14:48.38, ScriptExecThread(4),Info,Per server script "Crossdomain_XML.script" starting
05.15 14:48.38, ScriptExecThread(8),Info,Per server script "Apache_Server_Information.script" finished in 2012 ms. Request count: 5. Status: 0
05.15 14:48.38, ScriptExecThread(8),Info,Per server script "Database_Backup.script" starting
05.15 14:48.38, ScriptExecThread(9),Info,Per server script "ColdFusion_Audit.script" finished in 1014 ms. Request count: 2. Status: 0
05.15 14:48.38, ScriptExecThread(9),Info,Per server script "Django_Admin_Weak_Password.script" starting
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Register.asp
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Register.asp
05.15 14:48.38, Reporter,Info,[info] Password type input with auto-complete enabled "/Register.asp"
05.15 14:48.38, Reporter,Info,[medium] User credentials are sent in clear text "/Register.asp"
05.15 14:48.38, Reporter,Info,[medium] HTML form without CSRF protection "/Register.asp"
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Register.asp
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/showforum.asp?id=1
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Processing file /showforum.asp (variation 3)
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/showthread.asp
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/showthread.asp
05.15 14:48.38, ScriptExecThread(4),Info,Per server script "Crossdomain_XML.script" finished in 281 ms. Request count: 1. Status: 0
05.15 14:48.38, ScriptExecThread(5),Info,Per server script "CRLF_Injection_PerServer.script" finished in 312 ms. Request count: 1. Status: 0
05.15 14:48.38, ScriptExecThread(4),Info,Per server script "elasticsearch_Audit.script" starting
05.15 14:48.38, ScriptExecThread(5),Info,Per server script "elmah_Information_Disclosure.script" starting
05.15 14:48.39, ScriptExecThread(6),Info,Per server script "ColdFusion_v8_File_Upload.script" finished in 811 ms. Request count: 1. Status: 0
05.15 14:48.39, ScriptExecThread(6),Info,Per server script "Error_Page_Path_Disclosure.script" starting
05.15 14:48.39, ScriptExecThread(9),Info,Per server script "Django_Admin_Weak_Password.script" finished in 312 ms. Request count: 1. Status: 0
05.15 14:48.39, ScriptExecThread(9),Info,Per server script "Fantastico_Filelist.script" starting
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Register.asp?RetURL=/Default.asp%3F
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Register.asp (variation 1)
05.15 14:48.39, Reporter,Info,[info] Password type input with auto-complete enabled "/Register.asp (268e72716f4f02ac674a53a98217c612)"
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Register.asp
05.15 14:48.39, ScriptExecThread(1),Info,Per server script "Apache_Axis2_Audit.script" finished in 2714 ms. Request count: 5. Status: 0
05.15 14:48.39, ScriptExecThread(1),Info,Per server script "Flask_Debug_Mode.script" starting
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Templates
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Templates/
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Templates
05.15 14:48.39, ScriptExecThread(9),Info,Per server script "Fantastico_Filelist.script" finished in 327 ms. Request count: 1. Status: 0
05.15 14:48.39, ScriptExecThread(9),Info,Per server script "Frontpage_authors_pwd.script" starting
05.15 14:48.39, ScriptExecThread(5),Info,Per server script "elmah_Information_Disclosure.script" finished in 733 ms. Request count: 2. Status: 0
05.15 14:48.39, ScriptExecThread(1),Info,Per server script "Flask_Debug_Mode.script" finished in 296 ms. Request count: 1. Status: 0
05.15 14:48.39, ScriptExecThread(5),Info,Per server script "Frontpage_Extensions_Enabled.script" starting
05.15 14:48.39, ScriptExecThread(1),Info,Per server script "Frontpage_Information.script" starting
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Templates/MainTemplate.dwt.asp
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Templates/MainTemplate.dwt.asp
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Templates/Login.asp
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Templates/Login.asp
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Templates/Register.asp
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Templates/Register.asp
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/showforum.asp?id=0
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Processing file /showforum.asp (variation 1)
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/showthread.asp
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/showthread.asp
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Images
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Images/
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Images
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Crawler:  http://testasp.vulnweb.com/ State transition: CS_RUNNING -> CS_LOGIN
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Crawler:  http://testasp.vulnweb.com/ State transition: CS_LOGIN -> CS_RUNNING
05.15 14:48.39, ScriptExecThread(9),Info,Per server script "Frontpage_authors_pwd.script" finished in 406 ms. Request count: 1. Status: 0
05.15 14:48.39, ScriptExecThread(9),Info,Per server script "GlassFish_41_Directory_Traversal.script" starting
05.15 14:48.39, ScriptExecThread(1),Info,Per server script "Frontpage_Information.script" finished in 312 ms. Request count: 1. Status: 0
05.15 14:48.39, ScriptExecThread(1),Info,Per server script "GlassFish_Audit.script" starting
05.15 14:48.39, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/sitemap.xml
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/sitemap.xml.gz
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Search.asp?tfSearch=
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Search.asp (variation 1)
