TimeStamp, Source,LogType,Description
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /productshow.asp
05.15 16:51.55, ScriptExecThread(9),Info,Per server script "Bash_RCE_Server_Audit.script" finished in 1888 ms. Request count: 18. Status: 0
05.15 16:51.55, ScriptExecThread(9),Info,Per server script "Django_Admin_Weak_Password.script" starting
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/productshow.asp?bid=39&id=511&sid=243
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /productshow.asp (variation 1)
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2015
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2015/02
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2015/02/25
05.15 16:51.55, ScriptExecThread(9),Info,Per server script "Django_Admin_Weak_Password.script" finished in 93 ms. Request count: 1. Status: 0
05.15 16:51.55, ScriptExecThread(9),Info,Per server script "elasticsearch_Audit.script" starting
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/productshow.asp?bid=35&id=512&sid=0
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /productshow.asp (variation 2)
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/css/style.css
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /css/style.css
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/css/display
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/css/nav_menu
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/productshow.asp?bid=39&id=508&sid=242
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /productshow.asp (variation 3)
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2015/02/16
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/js/myfocus-1.2.4.full.js
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /js/myfocus-1.2.4.full.js
05.15 16:51.55, ScriptExecThread(7),Info,Per server script "Apache_Proxy_CONNECT_Enabled.script" finished in 3136 ms. Request count: 1. Status: 0
05.15 16:51.55, ScriptExecThread(7),Info,Per server script "elmah_Information_Disclosure.script" starting
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/productshow.asp?bid=40&id=389&sid=235
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /productshow.asp (variation 4)
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/css
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/css/
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /css
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/css/ico
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/css/ico/
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /css/ico
05.15 16:51.55, ScriptExecThread(6),Info,Per server script "Apache_Roller_Audit.script" finished in 3292 ms. Request count: 1. Status: 0
05.15 16:51.55, ScriptExecThread(6),Info,Per server script "Error_Page_Path_Disclosure.script" starting
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/UploadFile
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /UploadFile
05.15 16:51.55, ScriptExecThread(7),Info,Per server script "elmah_Information_Disclosure.script" finished in 171 ms. Request count: 2. Status: 0
05.15 16:51.55, ScriptExecThread(7),Info,Per server script "Fantastico_Filelist.script" starting
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/js
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/js/
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /js
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Crawler:  http://www.jxzls.com/ State transition: CS_RUNNING -> CS_LOGIN
05.15 16:51.55, Crawler,Info,[TCrawler : $0BAA02B0] Crawler:  http://www.jxzls.com/ State transition: CS_LOGIN -> CS_RUNNING
05.15 16:51.55, ScriptExecThread(7),Info,Per server script "Fantastico_Filelist.script" finished in 63 ms. Request count: 1. Status: 0
05.15 16:51.55, ScriptExecThread(7),Info,Per server script "Flask_Debug_Mode.script" starting
